Using seed: 1502657336674
Generating a Aldous Broder maze of 6 by 6 by 6 by 6
Ensuring solution
Solution took 44.5247 seconds and has a distance of 126
start at            (A:4)(B:0)(C:0)(D:0)
negative 1 on C     (A:4)(B:4)(C:4)(D:4)
positive 1 on D     (A:4)(B:4)(C:4)(D:5)
positive 1 on B     (A:4)(B:5)(C:4)(D:5)
negative 1 on A     (A:3)(B:5)(C:4)(D:5)
negative 1 on A     (A:2)(B:5)(C:4)(D:5)
negative 1 on D     (A:2)(B:5)(C:4)(D:4)
positive 1 on A     (A:3)(B:5)(C:4)(D:4)
positive 1 on A     (A:4)(B:5)(C:4)(D:4)
negative 1 on C     (A:4)(B:5)(C:3)(D:4)
positive 1 on D     (A:4)(B:5)(C:3)(D:5)
positive 1 on A     (A:5)(B:5)(C:3)(D:5)
negative 1 on C     (A:5)(B:5)(C:2)(D:5)
negative 1 on C     (A:5)(B:5)(C:1)(D:5)
negative 1 on A     (A:4)(B:5)(C:1)(D:5)
positive 1 on C     (A:4)(B:5)(C:2)(D:5)
negative 1 on A     (A:3)(B:5)(C:2)(D:5)
positive 1 on C     (A:3)(B:5)(C:3)(D:5)
finish at           (A:3)(B:5)(C:3)(D:4)
